Name,Variant code / SKU,Category,Default supplier,Units of measure,Average cost,Value in stock,In stock,Expected,Committed,Safety stock,Calculated stock,Location
   Vital Blend Coconut II,M-2,,Balchem,Grams,0.0074516305,4305.384292,577777.48,0,966574.256,0,-388796.776,Prymal warehouse
 Cinnamon Dolce 320g Pouches,P-11,,,Pieces,0.2994,209.58,700,0,0,0,700,Prymal warehouse
(Cinnamon Dolce) Cinnamon Toast Crunch,F-8,,OSF Flavors,Grams,0.0268964179,947.0874257,35212.4,0,40368,0,-5155.6,Prymal warehouse
(Irish Cream) Vanilla NW flavor 9274B PDR,F-11,,OSF Flavors,Grams,0,0,0,0,0,0,0,Prymal warehouse
(Italian Sweet Cream) Vanilla Creme NW flavor 7515b PDR,F-12,,OSF Flavors,Grams,0.0275578053,690.4442771,25054.4,0,0,0,25054.4,Prymal warehouse
(King Cake) Cinnamon Vanilla 6957B,F-13,,OSF Flavors,Grams,0,0,0,0,0,0,0,Prymal warehouse
3 Creamer Bundle / Bundle #6823602,,,,Pieces,0,0,0,0,1,0,-1,Prymal warehouse
[F-22] Speculoos Cookie Dough Coffee  Creamer,,,,Grams,0,0,0,0,0,0,0,Prymal warehouse
[M-30] Vital Blend MCT NG *NEW*,M-30,,Balchem,Grams,0.0149694658,7327.403814,489490,0,565724.8,0,-76234.8,Prymal warehouse
[M-31] Allulose,M-31,,,Grams,0,0,0,0,0,0,0,Prymal warehouse
Aerolatte Milk Frother / Black,3640647,,,Pieces,0,0,470,0,3,0,467,Prymal warehouse
Aerolatte Milk Frother / Dark Green,16837643,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Aerolatte Milk Frother / Red,4465508,,,Pieces,0,0,0,0,1,0,-1,Prymal warehouse
Aerolatte Milk Frother / White,3640648,,,Pieces,0,0,1119,0,13,0,1106,Prymal warehouse
Amethyst C Sprinkles F290074,M-12,,Watson Inc.//Glanbia,Grams,0.1030661916,497.3789815,4825.8209,0,0,0,4825.8209,Prymal warehouse
Apple Pie Low Carb Oatmeal,15002425,,,Pieces,2.210720487,1094.306641,495,0,0,0,495,Prymal warehouse
Apple Pie low carb Oatmeal Pouches,p-55,,,Pieces,0.2994,508.98,1700,0,0,0,1700,Prymal warehouse
Apple Pie Nat WONF 7268B,F-1,,OSF Flavors,Grams,0.0273373428,956.3247673,34982.36,0,0,0,34982.36,Prymal warehouse
Apple Pie Oatmeal,11847241,,,Pieces,1.838143357,4111.926689,2237,0,0,0,2237,Prymal warehouse
Apple Pie Oatmeal 300g Pouches,p-45,,,Pieces,0.3270580646,286.8299226,877,0,0,0,877,Prymal warehouse
Avalanche Ultra,M-4,,Sensient Colors,Grams,0.0375226809,4406.550517,117436.9851,0,221020.192,0,-103583.2069,Prymal warehouse
Avena GF quick oat flakes,m-29,,Avena,Grams,0,0,498951.6,0,0,0,498951.6,Prymal warehouse
Avena Rolled Oats,m-28,,Avena,Grams,0,0,91226,0,203.8,0,91022.2,Prymal warehouse
Birthday Cake 320g Pouches,P-23,,,Pieces,0.2994,1002.99,3350,0,0,0,3350,Prymal warehouse
Birthday Cake 5660B,F-2,,OSF Flavors,Grams,0.0381400025,536.9387692,14078.1,0,0,0,14078.1,Prymal warehouse
Birthday Cake 80g Pouches,P-21,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Birthday cake SUP (velcro),p-57,,,Pieces,0,0,3150,0,0,0,3150,Prymal warehouse
Birthday Cake/ Large Bag,3640649,,,Pieces,3.54654082,34032.60571,9596,0,3,0,9593,Prymal warehouse
Birthday Cake/ Small Bag,3640650,,,Pieces,0,0,105,0,11,0,94,Prymal warehouse
Blueberry Pancake 320g Pouches,P-20,,,Pieces,0,0,1082,0,0,0,1082,Prymal warehouse
BlueBerry Pancake Natural WONF 7025B,F-3,,OSF Flavors,Grams,0.0286601175,4.491040412,156.7,0,0,0,156.7,Prymal warehouse
Blueberry Pancakes / Large Bag,4507871,,,Pieces,2.296782574,4951.863229,2156,0,0,0,2156,Prymal warehouse
Blueberry Pancakes / Small Bag,205,,,Pieces,0,0,100,0,0,0,100,Prymal warehouse
Blueberry Pancakes SUP (velcro),p-60,,,Pieces,0,0,2545,0,0,0,2545,Prymal warehouse
Bundle,,,,Pieces,0,0,-1,0,0,0,-1,Prymal warehouse
Butter Pecan (Vegan),9739620,,,Pieces,0,0,2449,0,0,0,2449,Prymal warehouse
Butter Pecan / Large bag,3640657,,,Pieces,4.124034113,90390.57969,21918,800,2,0,22716,Prymal warehouse
Butter Pecan / Small Bag,9014364,,,Pieces,0,0,150,0,1,0,149,Prymal warehouse
Butter Pecan 320g Pouches,P-10,,,Pieces,0.2994,389.22,1300,0,0,0,1300,Prymal warehouse
Butter Pecan 5517B,F-4,,OSF Flavors,Grams,0.0326284414,633.8629425,19426.7,0,0,0,19426.7,Prymal warehouse
Butter Pecan 80g Pouches,P-9,,,Pieces,0,0,876,0,0,0,876,Prymal warehouse
Butter Pecan 9944B,f-38,,OSF Flavors,Grams,0.0284271353,0.3667100451,12.9,68038.8,14960,0,53091.7,Prymal warehouse
butter pecan SUP (velcro),p-66,,,Pieces,0,0,4351,0,800,0,3551,Prymal warehouse
Butterscotch Toffee *Limited Edition* / Large Bag,5835856,,,Pieces,4.850789064,9177.69291,1892,0,0,0,1892,Prymal warehouse
Butterscotch Toffee NW Flavor 7503B PDR,F-5,,OSF Flavors,Grams,0.0535723734,1.762531085,32.9,0,0,0,32.9,Prymal warehouse
Butterscotch Toffee Pouches,p-54,,,Pieces,0.2994,11.3772,38,0,0,0,38,Prymal warehouse
Cacao Mocha (Vegan),9739621,,,Pieces,0,0,2489,0,1,0,2488,Prymal warehouse
Cacao Mocha / Large Bag / Large Bag,3640661,,,Pieces,3.290817512,70693.34179,21482,600,1,0,22081,Prymal warehouse
Cacao Mocha / Small Bag,3648909,,,Pieces,0,0,95,0,0,0,95,Prymal warehouse
Cacao Mocha 320g Pouches,P-8,,,Pieces,0.2994,215.568,720,0,0,0,720,Prymal warehouse
Cacao Mocha 80g,M - 22,,,Grams,0,0,0,0,0,0,0,Prymal warehouse
Cacao Mocha SUP (velcro),p-56,,Belmark,Pieces,0,0,1606,0,600,0,1006,Prymal warehouse
Caramel 4719B,F-6,,OSF Flavors,Grams,0,0,0,0,0,0,0,Prymal warehouse
Caramel 9913B (3x concentration),f-40,,OSF Flavors,Grams,0.0656978077,725.3851572,11041.2384,68038.8,17649.12,0,61430.9184,Prymal warehouse
Carrot Cake 1028E,F-35,,OSF Flavors,Grams,0.0335102912,0.810949047,24.2,0,0,0,24.2,Prymal warehouse
Carrot Cake Creamer 320g ,13889101,,,Pieces,5.043393037,7701.261168,1527,0,0,0,1527,Prymal warehouse
Carrot Cake Creamer 320g Pouch,P - 47,,,Pieces,0.475,71.25,150,0,0,0,150,Prymal warehouse
Carrot Cake Oatmeal low carb Pouches,p-53,,,Pieces,0.2994,329.34,1100,0,0,0,1100,Prymal warehouse
Carrot Cake Oatmeal Pouches,p-52,,,Pieces,0.2994,329.34,1100,0,0,0,1100,Prymal warehouse
Chocolate Hazelnut 1027E,f-37,,OSF Flavors,Grams,0.0231358729,1382.213397,59743.3,0,59520,0,223.3,Prymal warehouse
Chocolate NAT wonf 4721B,f-7,,OSF Flavors,Grams,0.028439655,835.4706073,29376.96,0,46656,0,-17279.04,Prymal warehouse
Cinnamon Dolce (Finished Bags For Mixing),F-25,,,Grams,0,0,0,0,0,0,0,Prymal warehouse
Cinnamon Dolce / Large Bag,3640663,,,Pieces,4.533738678,58562.3025,12917,1600,0,0,14517,Prymal warehouse
Cinnamon Dolce / Small bag,3640664,,,Pieces,0,0,189,0,12,0,177,Prymal warehouse
Cinnamon Dolce SUP (velcro),p-59,,,Pieces,0,0,1284,0,1600,0,-316,Prymal warehouse
Cinnamon Pecan Coffee Beans / 3-Pack Ground (36oz),663,,,Pieces,0,0,-13,0,0,0,-13,Prymal warehouse
Cinnamon Pecan Coffee Beans / 3-Pack Whole (36oz),664,,,Pieces,0,0,-10,0,0,0,-10,Prymal warehouse
Cinnamon Pecan Coffee Beans / Decaf Ground (12oz),13238921,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Cinnamon Pecan Coffee Beans / Ground (12oz),8120073,,,Pieces,0,0,-18,0,3,0,-21,Prymal warehouse
Cinnamon Pecan Coffee Beans / K-cup (20 pods),8120075,,,Pieces,0,0,-29,0,0,0,-29,Prymal warehouse
Cinnamon Pecan Coffee Beans / Whole (12oz),8120074,,,Pieces,0,0,50,0,0,0,50,Prymal warehouse
Cinnamon Toast Oatmeal / Classic,6424072,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Cinnamon Toast Oatmeal / Less-Carb,6424073,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Cinnamon Vanilla 9945B (King Cake 2x Concentrate),F-34,,OSF Flavors,Grams,0.051367749,1313.632582,25573.1,0,14784,0,10789.1,Prymal warehouse
Cinnamon Vanilla Natural WONF 6689B,F-9,,OSF Flavors,Grams,0.0268964179,1.66757791,62,0,0,0,62,Prymal warehouse
Coconut Caramel Truffle SUP (velcro),p-62,,,Pieces,0,0,350,0,2400,0,-2050,Prymal warehouse
Coconut Flavor 9574B,f- 29,,,Grams,0.0315261292,488.276689,15488,45359.2,28800,0,32047.2,Prymal warehouse
Coconut Milk Powder,M-5,,Z Natural,Grams,0.0092594226,5455.535498,589187.44,0,362438.4,0,226749.04,Prymal warehouse
Cracker Jack 1238E,F-43,,OSF Flavors,Grams,0.0727526059,1610.102472,22131.2,0,0,0,22131.2,Prymal warehouse
Cracker Jack 320g Pouches,p-51,,,Pieces,0.2994,178.7418,597,0,0,0,597,Prymal warehouse
Cracker Jacks/Large Bag,17129670,,,Pieces,3.732844904,6062.140123,1624,0,0,0,1624,Prymal warehouse
Dark Green forther,,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Erythritol,M-3,,,Grams,0.0044092488,4232.460674,959905.1598,0,789394.2951,0,170510.8647,Prymal warehouse
Espresso Coffee 8282B,f-39,,OSF Flavors,Grams,0.028439655,610.8724135,21479.6,0,0,0,21479.6,Prymal warehouse
Fairway Green F290009 Sprinkles,M-13,,Watson Inc.//Glanbia,Grams,0.2904813136,1673.236621,5760.2212,0,0,0,5760.2212,Prymal warehouse
For Courtney,,,,Pieces,0,0,-1,0,0,0,-1,Prymal warehouse
French Toast 320g Pouches,P - 41,,,Pieces,0.4786,658.5536,1376,0,0,0,1376,Prymal warehouse
French Toast Creamer / Large Bag,555,,,Pieces,4.776156624,9194.101501,1925,0,28,0,1897,Prymal warehouse
French Toast Oatmeal / Classic,6424074,,,Pounds,0,0,0,0,0,0,0,Prymal warehouse
French Toast Oatmeal / Less-Carb,6424075,,,Pounds,0,0,0,0,0,0,0,Prymal warehouse
French Toast type Nat 7772B,F-10,,OSF Flavors,Grams,0.0317465917,300.8801768,9477.5584,0,0,0,9477.5584,Prymal warehouse
French Vanilla (Finished Bags For Mixing),F-24,,,Grams,0,0,0,0,0,0,0,Prymal warehouse
French Vanilla / Large bag,3640692,,,Pieces,3.056684882,58385.73793,19101,902,7,0,19996,Prymal warehouse
French Vanilla / Small bag,3648913,,,Pieces,0,0,2657,0,0,0,2657,Prymal warehouse
French Vanilla 320g Pouches,P-6,,,Pieces,0.2994,1230.534,4110,0,0,0,4110,Prymal warehouse
French Vanilla 80g Pouches,P-5,,,Pieces,0,0,2794,0,0,0,2794,Prymal warehouse
French Vanilla Creamer Stick Pack (1 ct),12538250,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
french vanilla SUP (velcro),p-65,,,Pieces,0,0,5242,0,902,0,4340,Prymal warehouse
Fruit Cereal 7774B (Trix Flavor),F - 27,,,Grams,0,0,0,0,0,0,0,Prymal warehouse
fruit cereal 9483B (2x concentrated),f-31,,OSF Flavors,Grams,0.0500449743,2269.999998,45359.2,0,0,0,45359.2,Prymal warehouse
Fruit Cereal type Nat 7774B,F-20,,,Grams,0.0293215048,6346.522428,216446,0,11.088,0,216434.912,Prymal warehouse
Fruit Loop Creamer 320g Pouch,P - 43,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Fruit Loop Creamer Large,,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Fruit Loops Cereal Milk / Large bag,6424076,,,Pieces,0,0,50,0,0,0,50,Prymal warehouse
Fruit Loops Oatmeal,6424077,,,Pieces,0,0,0,0,1,0,-1,Prymal warehouse
Fruity Cereal Low Carb Oatmeal 300g Pouches,P-47,,,Pieces,0.4786,808.834,1690,0,0,0,1690,Prymal warehouse
Fruity cereal Oatmeal (Low carb),11934941,,,Pieces,0.5256699845,1421.937308,2705,0,0,0,2705,Prymal warehouse
Gift Card / $10.00 USD,,,,Pieces,0,0,-6,0,0,0,-6,Prymal warehouse
Gift Card / $100.00 USD,,,,Pieces,0,0,-167,0,0,0,-167,Prymal warehouse
Gift Card / $15.00 USD,,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Gift Card / $25.00 USD,,,,Pieces,0,0,-73,0,1,0,-74,Prymal warehouse
Gift Card / $30.00,,,,Pieces,0,0,-2,0,0,0,-2,Prymal warehouse
Gift Card / $40.00 USD,,,,Pieces,0,0,-3,0,0,0,-3,Prymal warehouse
Gift Card / $50.00 USD,,,,Pieces,0,0,-65,0,0,0,-65,Prymal warehouse
Gift Card / $75.00 USD,,,,Pieces,0,0,-13,0,0,0,-13,Prymal warehouse
Gingerbread Cookie 320g,3640663,,,Pieces,4.985348973,3978.30848,798,0,0,0,798,Prymal warehouse
Gingerbread Cookie Coffee Beans / Ground (12oz),9726496,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Gingerbread Cookie Coffee Beans / K-cup (20 pods),9726498,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Gingerbread Cookie Coffee Beans / Whole (12oz),9726497,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Gingerbread Cookie SUP (Velcro),p-72,,Belmark,Pieces,0,0,1500,0,0,0,1500,Prymal warehouse
Ground Golden Flaxseed,M-25,,,Grams,0.0087964514,97.08379517,11036.7,0,0,0,11036.7,Prymal warehouse
Hazelnut / Large,13,,,Pieces,0,0,0,0,4,0,-4,Prymal warehouse
Hazelnut / Small Bag,3648910,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Hazelnut Flavor ,F-21,,,Grams,0,0,12247,0,0,0,12247,Prymal warehouse
Hazelnut Mocha Coffee Beans / 3-Pack Ground (36oz),667,,,Pieces,0,0,-2,0,0,0,-2,Prymal warehouse
Hazelnut Mocha Coffee Beans / 3-Pack Whole (36oz),666,,,Pieces,0,0,-2,0,0,0,-2,Prymal warehouse
Hazelnut Mocha Coffee Beans / Ground (12oz),8120076,,,Pieces,0,0,18,0,0,0,18,Prymal warehouse
Hazelnut Mocha Coffee Beans / K-cups (20 pods),8120078,,,Pieces,0,0,6,0,0,0,6,Prymal warehouse
Hazelnut Mocha Coffee Beans / Whole (12oz),8120077,,,Pieces,0,0,17,0,0,0,17,Prymal warehouse
Hazelnut SUP (velcro),p-63,,,Pieces,0,0,5240,0,0,0,5240,Prymal warehouse
Himalayan Pink Salt,M-7,,,Grams,0.0024250869,45.50384557,18763.8,0,27205.0672,0,-8441.2672,Prymal warehouse
Holiday Card,,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Honey Bunches Creamer 320g Pouch,P-47,,,Pieces,0.4786,1232.8736,2576,0,0,0,2576,Prymal warehouse
Honey Bunches of Oats 320g,11934939,,,Pieces,4.883057602,3545.099819,726,0,0,0,726,Prymal warehouse
Honey Oat Cereal 9482B,F-32,,OSF Flavors,Grams,0.0318418587,390.6486595,12268.4,0,0,0,12268.4,Prymal warehouse
House Blend Coffee Beans / 3-Pack Ground (36oz),662,,,Pieces,0,0,-4,0,1,0,-5,Prymal warehouse
House Blend Coffee Beans / 3-Pack Whole (36oz),661,,,Pieces,0,0,-5,0,0,0,-5,Prymal warehouse
House Blend Coffee Beans / Ground (12oz),8120079,,,Pieces,0,0,-23,0,1,0,-24,Prymal warehouse
House Blend Coffee Beans / K-cup (20 pods),8120082,,,Pieces,0,0,-19,0,3,0,-22,Prymal warehouse
House Blend Coffee Beans / Whole (12oz),8120080,,,Pieces,0,0,8,0,0,0,8,Prymal warehouse
Instant Oat Milk Powder,M-16,,,Grams,0.0099428561,3968.800384,399161,0,0,0,399161,Prymal warehouse
Irish Cream **Limited Edition** / Large bag,10466962,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Irish Cream 320g Pouches,P-30,,,Pieces,0,0,527,0,0,0,527,Prymal warehouse
Italian Sweet Cream / Large Bag,4443835,,,Pieces,4.647601789,39592.91964,8519,0,2,0,8517,Prymal warehouse
Italian Sweet Cream / Small Bag,5835878,,,Pieces,0,0,-1,0,0,0,-1,Prymal warehouse
Italian Sweet Cream 320g,P-29,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Italian Sweet Cream 80g Pouches,P-27,,,Pieces,0,0,39,0,0,0,39,Prymal warehouse
Italian sweet cream SUP (velcro),p-58,,,Pieces,0.40397,672.61005,1665,0,0,0,1665,Prymal warehouse
Ketosweet,M-10,,,Grams,0,0,0,0,0,0,0,Prymal warehouse
KetoSweet,10,,,Grams,0,0,0,0,0,0,0,Prymal warehouse
Kickstart Bundle,301,,,Pieces,0,0,-331,0,26,0,-357,Prymal warehouse
King Cake / Large Bag,4044444,,,Pieces,3.180873348,17666.57058,5554,0,0,0,5554,Prymal warehouse
King Cake / Small Bag,4044445,,,Pieces,0,0,17,0,0,0,17,Prymal warehouse
King Cake 320g Pouches,P-14,,,Pieces,0.2994,420.657,1405,0,0,0,1405,Prymal warehouse
King Cake 80g Pouches,P-12,,,Pieces,0,0,222,0,0,0,222,Prymal warehouse
king cake SUP (velcro),p-67,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Large Mystery Shirt,16018841,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Large Mystery Sweater,16018845,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Ltd Offer Kickstart Bundle,35,,,Pieces,0,0,-181,0,4,0,-185,Prymal warehouse
Mct Powder w Acacia,M-17,,,Grams,0.0144182437,1022.595234,70923.703,0,0,0,70923.703,Prymal warehouse
Medium Mystery Shirt,16018842,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Nutella ,14423625,,,Pieces,2.950057767,11761.88032,3987,2000,0,0,5987,Prymal warehouse
Nutella 320g pouches,p-49,,,Pieces,0.2994,268.2624,896,0,0,0,896,Prymal warehouse
Nutella Latte SUP (velcro),p-61,,,Pieces,0,0,1395,0,2000,0,-605,Prymal warehouse
Old Birthday Cake 320g Pouches,P-22,,,Pieces,0,0,1988,0,0,0,1988,Prymal warehouse
Old Blueberry Pancake 80g Pouches,P-18,,,Pieces,0,0,412,0,0,0,412,Prymal warehouse
Old Blueberry Pancake Pouches 320g,P-19,,,Pieces,0,0,429,0,0,0,429,Prymal warehouse
Old Butterscotch Toffee 80g Pouches,P-31,,,Pieces,0,0,781,0,0,0,781,Prymal warehouse
Old Cacao Mocha 320g Pouches,P-7,,,Pieces,0,0,213,0,0,0,213,Prymal warehouse
Old Italian Sweet Cream 320g Pouches,P-28,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
Old king Cake 320g Pouches,P-13,,,Pieces,0,0,829,0,0,0,829,Prymal warehouse
Old Original 320g Pouches,P-3,,,Pieces,0,0,760,0,0,0,760,Prymal warehouse
Old Original 80g Pouches ,P-1,,,Pieces,0,0,750,0,0,0,750,Prymal warehouse
Old Pumpkin Spice 80g Pouches,P-15,,,Pieces,0,0,993,0,0,0,993,Prymal warehouse
Old Red Velvet 320g Pouches,P-25 ,,,Pieces,0,0,272,0,0,0,272,Prymal warehouse
Old Red Velvet 80g Pouches,P-24,,,Pieces,0,0,106,0,0,0,106,Prymal warehouse
Old Roasted Hazelnut 320g Pouches,P-33,,,Pieces,0,0,66,0,0,0,66,Prymal warehouse
Old Roasted Hazelnut 80g Pouches,P-32,,,Pieces,0,0,1052,0,0,0,1052,Prymal warehouse
Organic Cacao Powder,M-18,,,Grams,0.0115758903,634.7940432,54837.6,0,49760,0,5077.6,Prymal warehouse
Organic Cinnamon Powder,M-19,,,Grams,0.0330693663,1123.386942,33970.622,0,4880,0,29090.622,Prymal warehouse
Organic debittered Stevia ,M-9,,Z Natural,Grams,0.0617294838,743.4005807,12042.877,0,0,0,12042.877,Prymal warehouse
Original / Large bag,3640674,,,Pieces,4.347578817,28224.48168,6492,450,2,0,6940,Prymal warehouse
Original / Small bag,3648911,,,Pieces,0,0,1441,0,0,0,1441,Prymal warehouse
Original 320g Pouches,P-4,,,Pieces,0.2942301104,23.53840883,80,0,0,0,80,Prymal warehouse
Original 80g Pouches,P-2,,,Pieces,0,0,8,0,0,0,8,Prymal warehouse
Original SUP (velcro),p-68,,Belmark,Pieces,0,0,2624.5,0,450,0,2174.5,Prymal warehouse
Peppermint 5190B,F-14,,OSF Flavors,Grams,0.0299828921,274.2834969,9148,0,0,0,9148,Prymal warehouse
Peppermint Mocha / Large Bag,3640676,,,Pieces,2.496472333,17605.12289,7052,0,0,0,7052,Prymal warehouse
Peppermint Mocha / Small Bag,3715754,,,Pieces,0,0,373,0,0,0,373,Prymal warehouse
Peppermint Mocha 320g Pouches,P-35,,,Pieces,0.2994,112.275,375,0,0,0,375,Prymal warehouse
Peppermint Mocha 80g Pouches,P-34,,,Pieces,0,0,1052,0,0,0,1052,Prymal warehouse
Peppermint Mocha SUP (Velcro),p-69,,Belmark,Pieces,0,0,2872.73125,0,0,0,2872.73125,Prymal warehouse
Pistachio Ice Cream 2901C,F-36,,OSF Flavors,Grams,0.0456357255,323.0826822,7079.6,0,0,0,7079.6,Prymal warehouse
Pistachio Ice Cream Creamer 320g,14679341,,,Pieces,5.04040671,3049.44606,605,0,0,0,605,Prymal warehouse
Pistachio Ice Cream Creamer 320g Pouch ,P - 48,,,Pieces,0.475,427.5,900,0,0,0,900,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / L / Vintage Charcoal",39572034682958,,,Pieces,0,0,5,0,0,0,5,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / L / Vintage Green",39572034617422,,,Pieces,0,0,6,0,0,0,6,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / L / Vintage Sandstone",39572034551886,,,Pieces,0,0,6,0,0,0,6,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / M / Vintage Charcoal",39572034486350,,,Pieces,0,0,4,0,0,0,4,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / M / Vintage Green",39572034388046,,,Pieces,0,0,5,0,0,0,5,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / M / Vintage Sandstone",39572034355278,,,Pieces,0,0,2,0,0,0,2,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / S / Vintage Charcoal",39572034322510,,,Pieces,0,0,3,0,0,0,3,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / S / Vintage Green",39572034289742,,,Pieces,0,0,6,0,0,0,6,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / S / Vintage Sandstone",39572034256974,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / XL / Vintage Charcoal",39572034781262,,,Pieces,0,0,1,0,0,0,1,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / XL / Vintage Green",39572034748494,,,Pieces,0,0,4,0,0,0,4,Prymal warehouse
"Premium Crew Neck ""Pursuit of Sweetness"" / XL / Vintage Sandstone",39572034715726,,,Pieces,0,0,2,0,1,0,1,Prymal warehouse
"Premium Crew Neck ""The Rooster"" / L / Vintage Charcoal",39572543537230,,,Pieces,0,0,4,0,0,0,4,Prymal warehouse
"Premium Crew Neck ""The Rooster"" / L / Vintage Green",39572543504462,,,Pieces,0,0,10,0,0,0,10,Prymal warehouse
"Premium Crew Neck ""The Rooster"" / L / Vintage Sandstone",39572543471694,,,Pieces,0,0,4,0,1,0,3,Prymal warehouse
"Premium Crew Neck ""The Rooster"" / M / Vintage Charcoal",39572543438926,,,Pieces,0,0,4,0,0,0,4,Prymal warehouse
"Premium Crew Neck ""The Rooster"" / M / Vintage Green",39572543406158,,,Pieces,0,0,6,0,0,0,6,Prymal warehouse
"Premium Crew Neck ""The Rooster"" / M / Vintage Sandstone",39572543373390,,,Pieces,0,0,4,0,0,0,4,Prymal warehouse
"Premium Crew Neck ""The Rooster"" / S / Vintage Charcoal",39572543340622,,,Pieces,0,0,0,0,0,0,0,Prymal warehouse
"Premium Crew Neck ""The Rooster"" / S / Vintage Green",39572543307854,,,Pieces,0,0,5,0,0,0,5,Prymal warehouse
