Product Id,Product Name,Product Varies? Yes/No,Parent Product,Variant Name,Variant ID,SKU,Inventory ID,Barcode,Taxonomy,On Hand Quantity,Sales Channels
1998404,Dark Green Aerolatte Milk Frother,No,,,,29459319291946,16837643,5039179001056,,7321,Shopify
1998545,Single Serve Sachet Butter Pecan Creamer Stick Pack (1 ct),No,,,,92,11810558,,,6387,Shopify
1998522,Single Serve Sachet Cacao Mocha Creamer Stick Pack (1 ct),No,,,,94,11847249,,,4718,Shopify
1998524,Birthday Cake Creamer Stick Pack (1 ct),No,,,,97,11847247,,,4596,Shopify
1998508,Single Serve Sachet (1 ct) Salted Caramel,No,,,,single-serve-sachet-1-ct-salted-caramel,12538248,,,4575,Shopify
1998519,Pumpkin Spice Creamer Stick Pack (1 ct),No,,,,98,11847252,,,2598,Shopify
1998507,Single Serve Sachet (1 ct) French Vanilla,No,,,,single-serve-sachet-1-ct-french-vanilla,12538250,,,2496,Shopify
1998897,Blueberry Pancakes Single Serve Sachet,No,,,,205,4507872,,,2358,"ShipBob,Shopify"
1998790,Large Bag (20-25 cups) King Cake,No,,,,104,4044444,812064030295,,1368,Shopify
2144803,Individual Serving Size Sachet Nutella Latte,No,,,,912,17735399,,,857,Shopify
1998755,Large bag Salted Caramel,No,,,,16,3640685,812064030080,,808,"Shopify,Amazon"
1998780,"Italian Sweet Cream ",No,,,,italian-sweet-cream-limited-edition,4443835,,,743,"Shopify,Amazon"
1998773,Large Bag Cacao Mocha,No,,,,12,3640661,812064030882,,718,"Shopify,Amazon"
1998775,Large bag Butter Pecan,No,,,,18,3640657,812064030202,,555,"Shopify,Amazon"
3296768,Individual Serving Size Sachet White Chocolate Mocha,No,,,,900,18105781,,,508,Shopify
1998751,Large French Vanilla,No,,,,14,3640692,812064030356,,494,"Shopify,Amazon"
1998752," Sustainable Wooden Measuring Spoon",No,,,,01,3640691,,,489,Shopify
1998898,Large Bag Blueberry Pancakes,No,,,,105,4507871,,,409,"ShipBob,Shopify"
1998772,"Large Bag Cinnamon Dolce ",No,,,,101,3640663,812064030233,,354,"Shopify,Amazon"
1998777,Large Bag Birthday Cake,No,,,,11,3640649,812064030189,,345,"Shopify,Amazon"
1998778,White Aerolatte Milk Frother,No,,,,white-aerolatte-milk-frother,3640648,5039179001247,,279,Shopify
1998511,Large Bag White Chocolate Mocha **Limited Edition**,No,,,,112,12391481,812064030516,,175,Shopify
1998457,Bulk 2.5lb Bag Cacao Mocha,No,,,,81,15424407,,,101,Shopify
1998899,Aerolatte Milk Frother - Red,No,,,,04,4465508,5039179001032,,97,"ShipBob,Shopify"
1998454,Bulk 2.5lb Bag French Vanilla,No,,,,82,15566928,,,90,Shopify
1998757,Large Bag Pumpkin Spice,No,,,,19,3640681,812064030981,,88,"Shopify,Amazon"
1998669,Ground (12oz) Hazelnut Mocha Coffee Beans,No,,,,66,8120076,,,56,Shopify
1998665,Whole (12oz) House Blend Coffee Beans,No,,,,61,8120080,,,55,Shopify
1998762,Large bag Original,No,,,,15,3640674,812064030899,,54,Shopify
1998666,Ground (12oz) House Blend Coffee Beans,No,,,,60,8120079,,,54,Shopify
1998671,Whole (12oz) Cinnamon Pecan Coffee Beans,No,,,,64,8120074,,,51,Shopify
1998875,Large bag Fruit Loops Cereal Milk,No,,,,109,6424076,,,50,Shopify
1998672,Ground (12oz) Cinnamon Pecan Coffee Beans,No,,,,63,8120073,,,47,Shopify
1998456,Bulk 2.5lb Bag Salted Caramel,No,,,,83,15426936,,,43,Shopify
1998754,Large Bag Speculoos Cookie Dough,No,,,,17,3640687,812064030141,,41,Shopify
1998455,Bulk 2.5lb Bag Butter Pecan,No,,,,80,15566927,,,39,Shopify
1998670,K-cup (20 pods) Cinnamon Pecan Coffee Beans,No,,,,65,8120075,,,37,Shopify
2144804,Individual Serving Size Sachet Cinnamon Dolce,No,,,,915,17735400,,,34,Shopify
1998451,M / Mystery Mystery Shirt,No,,,,39572565721166,16018842,,,29,Shopify
1998664,K-cup (20 pods) House Blend Coffee Beans,No,,,,62,8120082,,,28,Shopify
1998573,Whole (12oz) Gingerbread Cookie Coffee Beans,No,,,,602,9726497,,,27,Shopify
1998668,Whole (12oz) Hazelnut Mocha Coffee Beans,No,,,,67,8120077,,,19,Shopify
1998472,Decaf Ground (12oz) Cinnamon Pecan Coffee Beans,No,,,,630,13238921,,,19,Shopify
1998667,K-cups (20 pods) Hazelnut Mocha Coffee Beans,No,,,,68,8120078,,,18,Shopify
1998595,"L / Oatmeal Premium T-shirt ""Pursuit of Sweetness""",No,,,,l-oatmeal-premium-t-shirt-pursuit-of-sweetness,9326067,,Clothing Tops,13,Shopify
1998589,"M / Oatmeal Premium T-shirt ""The Rooster""",No,,,,39572551893070,9326073,,,13,Shopify
1998452,L / Mystery Mystery Shirt,No,,,,39572565786702,16018841,,,13,Shopify
1998447,M / Mystery Mystery Sweater,No,,,,39572034355278,16018846,,,12,Shopify
1998596,"M / Emerald Green Premium T-shirt ""Pursuit of Sweetness""",No,,,,39572565753934,9326066,,,11,Shopify
1998572,K-cup (20 pods) Gingerbread Cookie Coffee Beans,No,,,,603,9726498,,,11,Shopify
1998450,S / Mystery Mystery Shirt,No,,,,39572565655630,16018843,,,11,Shopify
1998604,"L / Vintage Green Premium Hoodie Neck ""The Rooster""",No,,,,39572549926990,9326058,,,10,Shopify
1998587,"L / Oatmeal Premium T-shirt ""The Rooster""",No,,,,39572551991374,9326075,,,10,Shopify
1998891,Damaged,No,,,,052FC79809942FD,3768520,,,9,ShipBob
1998626,"M / Vintage Charcoal Premium Hoodie ""Pursuit of Sweetness""",No,,,,39572535967822,9326036,,,9,Shopify
1998607,"M / Vintage Green Premium Hoodie Neck ""The Rooster""",No,,,,39572549828686,9326055,,,9,Shopify
1998588,"M / Emerald Green Premium T-shirt ""The Rooster""",No,,,,39572551958606,9326074,,Clothing Tops,9,Shopify
1998448,L / Mystery Mystery Sweater,No,,,,39572034551886,16018845,,,9,Shopify
1998606,"M / Vintage Charcoal Premium Hoodie Neck ""The Rooster""",No,,,,39572549861454,9326056,,Sweatshirts,8,Shopify
1998603,"L / Vintage Charcoal Premium Hoodie Neck ""The Rooster""",No,,,,39572549959758,9326059,,,8,Shopify
1998597,"M / Oatmeal Premium T-shirt ""Pursuit of Sweetness""",No,,,,m-oatmeal-premium-t-shirt-pursuit-of-sweetness,9326065,,,8,Shopify
1998445,Large Bag Mystery Creamer,No,,,,00,16018848,,,8,Shopify
1998594,"L / Emerald Green Premium T-shirt ""Pursuit of Sweetness""",No,,,,39572565819470,9326068,,Clothing Tops,7,Shopify
1998462,Large bag Pistachio Ice Cream,No,,,,117,14679341,,,7,Shopify
1998904,Small Bag Cacao Mocha,No,,,,22,3648909,812064030035,,6,"ShipBob,Shopify"
1998792,Large Santa's Cookies,No,,,,102-1,3729054,,,6,Shopify
1998649,"L / Vintage Sandstone Premium Crew Neck ""Pursuit of Sweetness""",No,,,,l-vintage-sandstone-premium-crew-neck-pursuit-of-s-2f46737b802042d,9326013,,,6,Shopify
1998639,"M / Vintage Green Premium Crew Neck ""The Rooster""",No,,,,39572543406158,9326023,,Sweatshirts,6,Shopify
1998627,"M / Vintage Green Premium Hoodie ""Pursuit of Sweetness""",No,,,,39572535935054,9326035,,Sweatshirts,6,Shopify
1998399,Amazon VP3,No,,,,81CF7C0EAB4F9BA,7446031,,,6,ShipBob
1998647,"L / Vintage Charcoal Premium Crew Neck ""Pursuit of Sweetness""",No,,,,39572034682958,9326015,,,5,Shopify
1998633,"XL / Vintage Green Premium Crew Neck ""The Rooster""",No,,,,39572543602766,9326029,,,5,Shopify
1998623,"L / Vintage Charcoal Premium Hoodie ""Pursuit of Sweetness""",No,,,,39572536066126,9326039,,,5,Shopify
1998618,"M / Tavern Green Premium Hoodie ""Pursuit of Sweetness"" Tavern Green",No,,,,39573063532622,9326044,,,5,Shopify
1998617,"L / Tavern Green Premium Hoodie ""Pursuit of Sweetness"" Tavern Green",No,,,,39573063630926,9326045,,Sweatshirts,5,Shopify
1998586,"L / Emerald Green Premium T-shirt ""The Rooster""",No,,,,39572552056910,9326076,,,5,Shopify
1998650,"M / Vintage Charcoal Premium Crew Neck ""Pursuit of Sweetness""",No,,,,39572034486350,9326012,,,4,Shopify
1998640,"M / Vintage Sandstone Premium Crew Neck ""The Rooster""",No,,,,39572543373390,9326022,,,4,Shopify
1998638,"M / Vintage Charcoal Premium Crew Neck ""The Rooster""",No,,,,39572543438926,9326024,,,4,Shopify
1998637,"L / Vintage Sandstone Premium Crew Neck ""The Rooster""",No,,,,39572543471694,9326025,,,4,Shopify
1998635,"L / Vintage Charcoal Premium Crew Neck ""The Rooster""",No,,,,39572543537230,9326027,,Sweatshirts,4,Shopify
1998599,"S / Oatmeal Premium T-shirt ""Pursuit of Sweetness""",No,,,,s-oatmeal-premium-t-shirt-pursuit-of-sweetness,9326063,,,4,Shopify
1998593,"XL / Oatmeal Premium T-shirt ""Pursuit of Sweetness""",No,,,,39572565852238,9326069,,,4,Shopify
1998591,"S / Oatmeal Premium T-shirt ""The Rooster""",No,,,,39572551794766,9326071,,,4,Shopify
