"Product variant code / SKU (required)","Product variant name","Product supplier item code","Product internal barcode","Product registered barcode","Ingredient variant code / SKU (required)","Ingredient variant name","Ingredient supplier item code","Ingredient internal barcode","Ingredient registered barcode","Notes","Quantity (required)","Unit of measure","Stock cost on 2025-02-15"
"9739620","Butter Pecan (Vegan)",,,,"M-17","Mct Powder w Acacia",,,,"",117.44,"g",0.0144182437
"9739620","Butter Pecan (Vegan)",,,,"M-16","Instant Oat Milk Powder",,,,"",58.88,"g",0.0099428561
"9739620","Butter Pecan (Vegan)",,,,"M-10","Ketosweet",,,,"",43.2,"g",0
"9739620","Butter Pecan (Vegan)",,,,"M-5","Coconut Milk Powder",,,,"",24,"g",0.0092594226
"9739620","Butter Pecan (Vegan)",,,,"M-3","Erythritol",,,,"",16,"g",0.0044092488
"9739620","Butter Pecan (Vegan)",,,,"M-4","Avalanche Ultra",,,,"",26.56,"g",0.0375226809
"9739620","Butter Pecan (Vegan)",,,,"M-7","Himalayan Pink Salt",,,,"",3.84,"g",0.0024250869
"9739620","Butter Pecan (Vegan)",,,,"F-4","Butter Pecan 5517B",,,,"",29.76,"g",0.0326284414
"9739621","Cacao Mocha (Vegan)",,,,"M-17","Mct Powder w Acacia",,,,"",117.44,"g",0.0144182437
"9739621","Cacao Mocha (Vegan)",,,,"M-16","Instant Oat Milk Powder",,,,"",58.88,"g",0.0099428561
"9739621","Cacao Mocha (Vegan)",,,,"M-10","Ketosweet",,,,"",58.56,"g",0
"9739621","Cacao Mocha (Vegan)",,,,"M-5","Coconut Milk Powder",,,,"",26.56,"g",0.0092594226
"9739621","Cacao Mocha (Vegan)",,,,"M-3","Erythritol",,,,"",16.64,"g",0.0044092488
"9739621","Cacao Mocha (Vegan)",,,,"F-7","Chocolate Nat WONF 4721B",,,,"",24.96,"g",0.028439655
"9739621","Cacao Mocha (Vegan)",,,,"M-18","Organic Cacao Powder",,,,"",16.64,"g",0.0115758903
"9739621","Cacao Mocha (Vegan)",,,,"P-39","Vegan Cacao Mocha 320g Pouches",,,,"",1,"pcs",0
